state,city,region_id,region_name,school_count,program_count,avg_student_size,avg_in_state_tuition,avg_out_of_state_tuition,avg_cost_of_attendance,avg_net_price
CA,Sacramento,8,Far West,17,148,18308.35,3052.23,14492.23,15236.3,8535.96
CA,Salida,8,Far West,1,6,590.0,,,,24617.0
CA,Salinas,8,Far West,4,67,5968.19,1404.0,8994.0,12050.0,6145.86
CA,San Anselmo,8,Far West,1,2,,,,,
CA,San Bernardino,8,Far West,5,110,12540.32,4850.65,15404.2,15928.66,8449.93
CA,San Bruno,8,Far West,1,54,7132.0,1332.0,11384.0,10461.0,-1180.0
CA,San Diego,8,Far West,30,212,13887.15,14296.54,19301.71,31012.13,17883.48
CA,San Dimas,8,Far West,2,21,1042.68,15260.9,15260.9,30098.45,21011.16
CA,San Fernando,8,Far West,1,1,28.0,,,,18458.0
CA,San Francisco,8,Far West,14,190,11346.84,21897.9,28930.3,38451.24,21385.03
CA,San Jacinto,8,Far West,2,62,14687.21,1406.0,11276.0,15091.0,7349.13
CA,San Jose,8,Far West,10,154,15233.15,5844.06,15618.26,25181.52,16319.4
CA,San Leandro,8,Far West,1,5,400.0,,,,32368.0
CA,San Luis Obispo,8,Far West,4,138,13660.45,6573.52,21518.7,25507.43,14434.86
CA,San Marcos,8,Far West,6,122,13907.18,5418.48,14999.15,18805.58,9669.51
CA,San Mateo,8,Far West,1,64,7359.0,1332.0,11384.0,11875.0,1504.0
CA,San Pablo,8,Far West,1,53,4805.0,1312.0,9012.0,14511.0,6522.0
CA,San Rafael,8,Far West,1,37,1178.0,50666.0,50666.0,68620.0,50218.0
CA,Santa Ana,8,Far West,6,84,20154.81,1180.0,9460.0,11848.0,5461.43
CA,Santa Barbara,8,Far West,6,111,14978.68,13066.95,31926.82,32632.9,14189.26
CA,Santa Clara,8,Far West,2,92,5924.94,32806.7,37737.49,49084.62,30031.71
CA,Santa Clarita,8,Far West,2,94,11783.89,10481.84,17920.52,20247.67,9924.04
CA,Santa Cruz,8,Far West,2,68,17812.0,14560.0,45337.0,38649.0,16607.0
CA,Santa Fe Springs,8,Far West,4,11,48.92,8839.0,8839.0,,25152.0
CA,Santa Maria,8,Far West,3,72,6895.44,1156.0,9436.0,11544.0,5937.44
CA,Santa Monica,8,Far West,3,61,21194.0,1156.0,9316.0,11353.0,3600.0
CA,Santa Paula,8,Far West,1,1,539.0,28700.0,28700.0,40000.0,25032.0
CA,Santa Rosa,8,Far West,3,94,14222.49,1318.0,11308.0,13649.0,5681.16
CA,Santee,8,Far West,1,16,91.0,26300.0,26300.0,40057.0,7871.0
CA,Saratoga,8,Far West,1,60,6086.0,1490.0,8702.0,13351.0,1842.0
CA,Seaside,8,Far West,1,34,5811.0,7437.0,19317.0,26017.0,14487.0
CA,Selma,8,Far West,1,1,38.0,,,,19422.0
CA,Sherman Oaks,8,Far West,2,6,538.0,,,,27527.86
CA,Signal Hill,8,Far West,1,5,364.0,24575.0,24575.0,,
CA,Soledad,8,Far West,1,3,179.0,,,,10377.0
CA,Sonora,8,Far West,1,57,1917.0,1547.0,8870.0,19688.0,15468.0
CA,South El Monte,8,Far West,1,1,73.0,,,,9494.0
CA,South Lake Tahoe,8,Far West,1,37,2909.0,1131.0,11067.0,17731.0,10975.0
CA,South San Francisco,8,Far West,1,2,255.0,,,,28283.0
CA,Stanford,8,Far West,1,79,7841.0,62484.0,62484.0,82162.0,12136.0
CA,Stockton,8,Far West,8,135,7899.29,24178.2,28134.53,37879.85,16384.95
CA,Sunnyvale,8,Far West,1,1,,,,,
CA,Susanville,8,Far West,1,36,1564.0,1144.0,8224.0,17063.0,7677.0
CA,Sylmar,8,Far West,1,42,8031.0,1238.0,10130.0,19525.0,11972.0
CA,Taft,8,Far West,1,30,3216.0,1108.0,9076.0,13012.0,2699.0
CA,Tarzana,8,Far West,1,1,335.0,,,,42523.0
CA,Temecula,8,Far West,3,11,558.25,18310.0,18310.0,33010.0,27682.25
CA,Temple City,8,Far West,1,4,45.0,,,,16761.0
CA,Thousand Oaks,8,Far West,1,53,2374.0,50670.0,50670.0,63768.0,26433.0
CA,Torrance,8,Far West,3,76,18152.8,1144.0,7144.0,13376.0,5554.68
CA,Truckee,8,Far West,1,1,9.0,,,,19323.0
CA,Turlock,8,Far West,2,47,8260.68,7826.0,19706.0,18542.0,6339.64
CA,Ukiah,8,Far West,2,57,2816.19,1423.0,8893.0,16746.0,7500.0
CA,Upland,8,Far West,1,1,238.0,,,,16626.0
CA,Vacaville,8,Far West,2,6,38.88,,,,30214.5
CA,Valencia,8,Far West,1,13,881.0,56724.0,56724.0,78425.0,47183.0
